Player,Salary,Year
,"$37,457,154",2018
,"$35,665,000",2018
,"$35,654,150",2018
,"$35,654,150",2018
,"$32,700,000",2018
,"$31,873,932",2018
,"$31,214,295",2018
,"$30,570,000",2018
,"$30,560,700",2018
,"$30,521,115",2018
,"$30,000,000",2018
,"$29,230,769",2018
,"$28,928,710",2018
,"$27,977,689",2018
,"$27,739,975",2018
,"$26,837,720",2018
,"$26,641,111",2018
,"$26,011,913",2018
,"$25,759,766",2018
,"$25,467,250",2018
,"$25,467,250",2018
,"$25,467,250",2018
,"$25,434,263",2018
,"$25,434,262",2018
,"$25,434,262",2018
,"$24,434,262",2018
,"$24,256,725",2018
,"$24,157,304",2018
,"$24,157,304",2018
,"$24,119,025",2018
,"$24,119,025",2018
,"$24,107,258",2018
,"$24,107,258",2018
,"$24,000,000",2018
,"$23,491,573",2018
,"$23,114,066",2018
,"$22,897,200",2018
,"$22,347,015",2018
,"$21,666,667",2018
,"$21,590,909",2018
,"$21,587,579",2018
,"$21,000,000",2018
,"$20,421,546",2018
,"$20,261,172",2018
,"$20,099,189",2018
,"$20,000,000",2018
,"$19,841,627",2018
,"$19,500,000",2018
,"$19,360,228",2018
,"$19,332,500",2018
,"$19,264,603",2018
,"$19,245,370",2018
,"$19,169,800",2018
,"$19,000,000",2018
,"$19,000,000",2018
,"$18,988,725",2018
,"$18,109,175",2018
,"$18,089,888",2018
,"$17,868,853",2018
,"$17,469,565",2018
,"$17,469,565",2018
,"$17,325,000",2018
,"$17,133,285",2018
,"$17,043,478",2018
,"$17,000,000",2018
,"$17,000,000",2018
,"$16,900,000",2018
,"$16,747,954",2018
,"$16,539,326",2018
,"$16,517,857",2018
,"$16,000,000",2018
,"$16,000,000",2018
,"$16,000,000",2018
,"$15,793,104",2018
,"$15,500,000",2018
,"$15,400,000",2018
,"$15,170,787",2018
,"$15,000,000",2018
,"$15,000,000",2018
,"$14,800,000",2018
,"$14,800,000",2018
,"$14,720,000",2018
,"$14,631,250",2018
,"$14,420,700",2018
,"$14,357,750",2018
,"$14,242,782",2018
,"$14,087,500",2018
,"$14,000,000",2018
,"$13,764,045",2018
,"$13,585,000",2018
,"$13,565,218",2018
,"$13,537,527",2018
,"$13,528,090",2018
,"$13,500,375",2018
,"$13,155,324",2018
,"$13,000,000",2018
,"$13,000,000",2018
,"$12,917,808",2018
,"$12,800,562",2018
,"$12,763,467",2018
,"$12,750,000",2018
,"$12,705,000",2018
,"$12,545,455",2018
,"$12,516,746",2018
,"$12,500,000",2018
,"$12,500,000",2018
,"$12,400,000",2018
,"$12,400,000",2018
,"$12,253,780",2018
,"$12,250,000",2018
,"$12,000,000",2018
,"$12,000,000",2018
,"$12,000,000",2018
,"$11,830,358",2018
,"$11,750,000",2018
,"$11,692,308",2018
,"$11,571,429",2018
,"$11,536,515",2018
,"$11,286,516",2018
,"$11,160,716",2018
,"$11,111,111",2018
,"$11,011,234",2018
,"$10,837,079",2018
,"$10,607,143",2018
,"$10,600,000",2018
,"$10,595,506",2018
,"$10,577,466",2018
,"$10,500,000",2018
,"$10,500,000",2018
,"$10,500,000",2018
,"$10,464,092",2018
,"$10,087,200",2018
,"$10,002,681",2018
,"$10,000,000",2018
,"$10,000,000",2018
,"$10,000,000",2018
,"$9,631,250",2018
,"$9,607,500",2018
,"$9,530,000",2018
,"$9,490,740",2018
,"$9,367,200",2018
,"$9,367,200",2018
,"$9,173,294",2018
,"$9,000,000",2018
,"$9,000,000",2018
,"$8,808,685",2018
,"$8,739,500",2018
,"$8,653,847",2018
,"$8,653,076",2018
,"$8,641,000",2018
,"$8,641,000",2018
,"$8,575,916",2018
,"$8,470,980",2018
,"$8,339,880",2018
,"$8,333,333",2018
,"$8,333,333",2018
,"$8,333,333",2018
,"$8,307,692",2018
,"$8,175,840",2018
,"$8,066,667",2018
,"$8,000,000",2018
,"$8,000,000",2018
,"$7,959,537",2018
,"$7,945,000",2018
,"$7,839,435",2018
,"$7,560,000",2018
,"$7,464,912",2018
,"$7,461,960",2018
,"$7,333,334",2018
,"$7,314,960",2018
,"$7,305,825",2018
,"$7,250,000",2018
,"$7,119,650",2018
,"$7,019,698",2018
,"$7,000,000",2018
,"$7,000,000",2018
,"$7,000,000",2018
,"$7,000,000",2018
,"$6,957,105",2018
,"$6,700,800",2018
,"$6,569,040",2018
,"$6,500,000",2018
,"$6,500,000",2018
,"$6,434,520",2018
,"$6,300,000",2018
,"$6,300,000",2018
,"$6,153,846",2018
,"$6,134,000",2018
,"$6,041,520",2018
,"$6,000,000",2018
,"$6,000,000",2018
,"$6,000,000",2018
,"$5,922,720",2018
,"$5,757,120",2018
,"$5,750,000",2018
,"$5,697,054",2018
,"$5,474,787",2018
,"$5,470,920",2018
,"$5,460,000",2018
,"$5,451,600",2018
,"$5,450,000",2018
,"$5,375,000",2018
,"$5,363,280",2018
,"$5,337,000",2018
,"$5,331,729",2018
,"$5,285,394",2018
,"$5,250,000",2018
,"$5,193,600",2018
,"$5,169,960",2018
,"$5,027,028",2018
,"$5,000,000",2018
,"$5,000,000",2018
,"$5,000,000",2018
,"$4,969,080",2018
,"$4,871,280",2018
,"$4,698,113",2018
,"$4,697,823",2018
,"$4,696,874",2018
,"$4,661,280",2018
,"$4,536,120",2018
,"$4,500,000",2018
,"$4,449,000",2018
,"$4,449,000",2018
,"$4,449,000",2018
,"$4,446,840",2018
,"$4,350,000",2018
,"$4,320,500",2018
,"$4,320,500",2018
,"$4,294,479",2018
,"$4,221,000",2018
,"$4,155,720",2018
,"$4,075,000",2018
,"$4,073,760",2018
,"$4,000,000",2018
,"$3,940,401",2018
,"$3,833,760",2018
,"$3,819,960",2018
,"$3,774,176",2018
,"$3,744,840",2018
,"$3,710,850",2018
,"$3,667,645",2018
,"$3,651,480",2018
,"$3,628,920",2018
,"$3,627,842",2018
,"$3,557,400",2018
,"$3,500,000",2018
,"$3,499,800",2018
,"$3,472,887",2018
,"$3,448,926",2018
,"$3,447,480",2018
,"$3,440,356",2018
,"$3,382,000",2018
,"$3,382,000",2018
,"$3,375,360",2018
,"$3,364,249",2018
,"$3,360,000",2018
,"$3,314,365",2018
,"$3,294,994",2018
,"$3,275,280",2018
,"$3,258,539",2018
,"$3,208,630",2018
,"$3,206,640",2018
,"$3,206,160",2018
,"$3,129,187",2018
,"$3,125,000",2018
,"$3,111,480",2018
,"$3,050,389",2018
,"$3,050,160",2018
,"$3,000,000",2018
,"$3,000,000",2018
,"$2,955,840",2018
,"$2,947,320",2018
,"$2,894,160",2018
,"$2,844,429",2018
,"$2,807,880",2018
,"$2,799,720",2018
,"$2,795,000",2018
,"$2,775,000",2018
,"$2,760,094",2018
,"$2,752,680",2018
